LeetCode No,Problem Title,Level,Tags,Acceptance,URL
383, Ransom Note,Easy,Hash TableStringCounting,56,https://leetcode.com/problems/ransom-note
389, Find the Difference,Easy,Hash TableStringBit Manipulation1+,60.5,https://leetcode.com/problems/find-the-difference
392, Is Subsequence,Easy,Two PointersStringDynamic Programming,51,https://leetcode.com/problems/is-subsequence
441, Arranging Coins,Easy,MathBinary Search,45.6,https://leetcode.com/problems/arranging-coins
448, Find All Numbers Disappeared in an Array,Easy,ArrayHash Table,59.2,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array
459, Repeated Substring Pattern,Easy,StringString Matching,43.6,https://leetcode.com/problems/repeated-substring-pattern
463, Island Perimeter,Easy,ArrayDepth-First Search2+,69.1,https://leetcode.com/problems/island-perimeter
476, Number Complement,Easy,Bit Manipulation,66.8,https://leetcode.com/problems/number-complement
482, License Key Formatting,Easy,String,43.1,https://leetcode.com/problems/license-key-formatting
496, Next Greater Element I,Easy,ArrayHash TableStack1+,70.4,https://leetcode.com/problems/next-greater-element-i
506, Relative Ranks,Easy,ArraySortingHeap (Priority Queue),57.2,https://leetcode.com/problems/relative-ranks
509, Fibonacci Number,Easy,MathDynamic ProgrammingRecursion1+,68.3,https://leetcode.com/problems/fibonacci-number
530, Minimum Absolute Difference in BST,Easy,TreeDepth-First Search3+,56.3,https://leetcode.com/problems/minimum-absolute-difference-in-bst
543, Diameter of Binary Tree,Easy,TreeDepth-First SearchBinary Tree,54.6,https://leetcode.com/problems/diameter-of-binary-tree
572, Subtree of Another Tree,Easy,TreeDepth-First SearchString Matching2+,45.5,https://leetcode.com/problems/subtree-of-another-tree
589, N-ary Tree Preorder Traversal,Easy,StackTreeDepth-First Search,76.2,https://leetcode.com/problems/n-ary-tree-preorder-traversal
605, Can Place Flowers,Easy,ArrayGreedy,33.1,https://leetcode.com/problems/can-place-flowers
617, Merge Two Binary Trees,Easy,TreeDepth-First Search2+,78,https://leetcode.com/problems/merge-two-binary-trees
637, Average of Levels in Binary Tree,Easy,TreeDepth-First Search2+,68.9,https://leetcode.com/problems/average-of-levels-in-binary-tree
643, Maximum Average Subarray I,Easy,ArraySliding Window,43.6,https://leetcode.com/problems/maximum-average-subarray-i
700, Search in a Binary Search Tree,Easy,TreeBinary Search TreeBinary Tree,76.5,https://leetcode.com/problems/search-in-a-binary-search-tree
704, Binary Search,Easy,ArrayBinary Search,55.2,https://leetcode.com/problems/binary-search
724, Find Pivot Index,Easy,ArrayPrefix Sum,51.9,https://leetcode.com/problems/find-pivot-index
733, Flood Fill,Easy,ArrayDepth-First Search2+,58.4,https://leetcode.com/problems/flood-fill
744, Find Smallest Letter Greater Than Target,Easy,ArrayBinary Search,45,https://leetcode.com/problems/find-smallest-letter-greater-than-target
746, Min Cost Climbing Stairs,Easy,ArrayDynamic Programming,59.2,https://leetcode.com/problems/min-cost-climbing-stairs
844, Backspace String Compare,Easy,Two PointersStringStack1+,48,https://leetcode.com/problems/backspace-string-compare
860, Lemonade Change,Easy,ArrayGreedy,52.6,https://leetcode.com/problems/lemonade-change
876, Middle of the Linked List,Easy,Linked ListTwo Pointers,72.8,https://leetcode.com/problems/middle-of-the-linked-list
884, Uncommon Words from Two Sentences,Easy,Hash TableString,65.7,https://leetcode.com/problems/uncommon-words-from-two-sentences
896, Monotonic Array,Easy,Array,58.4,https://leetcode.com/problems/monotonic-array
908, Smallest Range I,Easy,ArrayMath,67.4,https://leetcode.com/problems/smallest-range-i
942, DI String Match,Easy,ArrayMathTwo Pointers2+,76,https://leetcode.com/problems/di-string-match
977, Squares of a Sorted Array,Easy,ArrayTwo PointersSorting,71.7,https://leetcode.com/problems/squares-of-a-sorted-array
997, Find the Town Judge,Easy,ArrayHash TableGraph,49.7,https://leetcode.com/problems/find-the-town-judge
1021, Remove Outermost Parentheses,Easy,StringStack,79.9,https://leetcode.com/problems/remove-outermost-parentheses
1022, Sum of Root To Leaf Binary Numbers,Easy,TreeDepth-First SearchBinary Tree,73.8,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers
1025, Divisor Game,Easy,MathDynamic ProgrammingBrainteaser1+,66.7,https://leetcode.com/problems/divisor-game
1056, Confusing Number,Easy,Math,46,https://leetcode.com/problems/confusing-number
1065, Index Pairs of a String,Easy,ArrayStringTrie1+,62.5,https://leetcode.com/problems/index-pairs-of-a-string
1089, Duplicate Zeros,Easy,ArrayTwo Pointers,51.2,https://leetcode.com/problems/duplicate-zeros
1134, Armstrong Number,Easy,Math,78.3,https://leetcode.com/problems/armstrong-number
1137, N-th Tribonacci Number,Easy,MathDynamic ProgrammingMemoization,63.1,https://leetcode.com/problems/n-th-tribonacci-number
1150, Check If a Number Is Majority Element in a Sorted Array,Easy,ArrayBinary Search,56.7,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array
1176, Diet Plan Performance,Easy,ArraySliding Window,52.5,https://leetcode.com/problems/diet-plan-performance
1207, Unique Number of Occurrences,Easy,ArrayHash Table,71.9,https://leetcode.com/problems/unique-number-of-occurrences
1290, Convert Binary Number in a Linked List to Integer,Easy,Linked ListMath,82.6,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1351, Count Negative Numbers in a Sorted Matrix,Easy,ArrayBinary SearchMatrix,75.1,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix
1379, Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Easy,TreeDepth-First Search2+,87.4,https://leetcode.com/problems/find-a-corresponding-node-of-a-binary-tree-in-a-clone-of-that-tree
1426, Counting Elements,Easy,ArrayHash Table,59.5,https://leetcode.com/problems/counting-elements
1431, Kids With the Greatest Number of Candies,Easy,Array,87.7,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies
1475, Final Prices With a Special Discount in a Shop,Easy,ArrayStackMonotonic Stack,75.2,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop
1480, Running Sum of 1d Array,Easy,ArrayPrefix Sum,90.4,https://leetcode.com/problems/running-sum-of-1d-array
1502, Can Make Arithmetic Progression From Sequence,Easy,ArraySorting,69.4,https://leetcode.com/problems/can-make-arithmetic-progression-from-sequence
1539, Kth Missing Positive Number,Easy,ArrayBinary Search,55.6,https://leetcode.com/problems/kth-missing-positive-number
1603, Design Parking System,Easy,DesignSimulationCounting,87.7,https://leetcode.com/problems/design-parking-system
1672, Richest Customer Wealth,Easy,ArrayMatrix,89.1,https://leetcode.com/problems/richest-customer-wealth
1684, Count the Number of Consistent Strings,Easy,ArrayHash TableString1+,81.9,https://leetcode.com/problems/count-the-number-of-consistent-strings
1732, Find the Highest Altitude,Easy,ArrayPrefix Sum,78.9,https://leetcode.com/problems/find-the-highest-altitude
1748, Sum of Unique Elements,Easy,ArrayHash TableCounting,75.6,https://leetcode.com/problems/sum-of-unique-elements
1768, Merge Strings Alternately,Easy,Two PointersString,75.8,https://leetcode.com/problems/merge-strings-alternately
1822, Sign of the Product of an Array,Easy,ArrayMath,67.1,https://leetcode.com/problems/sign-of-the-product-of-an-array
1945, Sum of Digits of String After Convert,Easy,StringSimulation,61.3,https://leetcode.com/problems/sum-of-digits-of-string-after-convert
2022, Convert 1D Array Into 2D Array,Easy,ArrayMatrixSimulation,58.8,https://leetcode.com/problems/convert-1d-array-into-2d-array
2148, Count Elements With Strictly Smaller and Greater Elements,Easy,ArraySorting,60.3,https://leetcode.com/problems/count-elements-with-strictly-smaller-and-greater-elements
2215, Find the Difference of Two Arrays,Easy,ArrayHash Table,69.3,https://leetcode.com/problems/find-the-difference-of-two-arrays
2220, Minimum Bit Flips to Convert Number,Easy,Bit Manipulation,81.6,https://leetcode.com/problems/minimum-bit-flips-to-convert-number
3001,Find the Index of the First Occurrence in a String,Easy,DONTKNOW,1,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string
3002,Evaluate Boolean Binary Tree,Easy,DONTKNOW,1,https://leetcode.com/problems/evaluate-boolean-binary-tree
3003,Largest Local Values in a Matrix,Easy,DONTKNOW,1,https://leetcode.com/problems/largest-local-values-in-a-matrix
3004,Special Array I,Easy,DONTKNOW,1,https://leetcode.com/problems/special-array-i
3005,Find the Winning Player in Coin Game,Easy,DONTKNOW,1,https://leetcode.com/problems/find-the-winning-player-in-coin-game
